Guild	Pos.	Monday	Tuesday	Wednesday	Thursday	Friday
First Wave	1	8-Lily	14-Soul Reapers	20-Kamigrain	26-The LIONS	2-Mattari
Mattari	2	25-Pif Paf Pouf	19-MUKAKIN-MUGON	13-himatsubushi	7-Knight of Knights	1-First Wave
Heros	3	10-Clan Destino	16-CRYSTAL	22-Schriese	28-ppmmOmmqq	4-Велес
Велес	4	27-ONI SKY	21-Retweet	15-СССР-2	9-CCCP	3-Heros
Belgique	5	12-NBC	18-StormCat	24-КоролеваСемьи	30-тризуб	6-athena
athena	6	29-REX	23-pink pirates	17-Bansh	11-The Eyrie	5-Belgique
Knight of Knights	7	14-Soul Reapers	20-Kamigrain	26-The LIONS	2-Mattari	8-Lily
Lily	8	1-First Wave	25-Pif Paf Pouf	19-MUKAKIN-MUGON	13-himatsubushi	7-Knight of Knights
CCCP	9	16-CRYSTAL	22-Schriese	28-ppmmOmmqq	4-Велес	10-Clan Destino
Clan Destino	10	3-Heros	27-ONI SKY	21-Retweet	15-СССР-2	9-CCCP
The Eyrie	11	18-StormCat	24-КоролеваСемьи	30-тризуб	6-athena	12-NBC
NBC	12	5-Belgique	29-REX	23-pink pirates	17-Bansh	11-The Eyrie
himatsubushi	13	20-Kamigrain	26-The LIONS	2-Mattari	8-Lily	14-Soul Reapers
Soul Reapers	14	7-Knight of Knights	1-First Wave	25-Pif Paf Pouf	19-MUKAKIN-MUGON	13-himatsubushi
СССР-2	15	22-Schriese	28-ppmmOmmqq	4-Велес	10-Clan Destino	16-CRYSTAL
CRYSTAL	16	9-CCCP	3-Heros	27-ONI SKY	21-Retweet	15-СССР-2
Bansh	17	24-КоролеваСемьи	30-тризуб	6-athena	12-NBC	18-StormCat
StormCat	18	11-The Eyrie	5-Belgique	29-REX	23-pink pirates	17-Bansh
MUKAKIN-MUGON	19	26-The LIONS	2-Mattari	8-Lily	14-Soul Reapers	20-Kamigrain
Kamigrain	20	13-himatsubushi	7-Knight of Knights	1-First Wave	25-Pif Paf Pouf	19-MUKAKIN-MUGON
Retweet	21	28-ppmmOmmqq	4-Велес	10-Clan Destino	16-CRYSTAL	22-Schriese
Schriese	22	15-СССР-2	9-CCCP	3-Heros	27-ONI SKY	21-Retweet
pink pirates	23	30-тризуб	6-athena	12-NBC	18-StormCat	24-КоролеваСемьи
КоролеваСемьи	24	17-Bansh	11-The Eyrie	5-Belgique	29-REX	23-pink pirates
Pif Paf Pouf	25	2-Mattari	8-Lily	14-Soul Reapers	20-Kamigrain	26-The LIONS
The LIONS	26	19-MUKAKIN-MUGON	13-himatsubushi	7-Knight of Knights	1-First Wave	25-Pif Paf Pouf
ONI SKY	27	4-Велес	10-Clan Destino	16-CRYSTAL	22-Schriese	28-ppmmOmmqq
ppmmOmmqq	28	21-Retweet	15-СССР-2	9-CCCP	3-Heros	27-ONI SKY
REX	29	6-athena	12-NBC	18-StormCat	24-КоролеваСемьи	30-тризуб
тризуб	30	23-pink pirates	17-Bansh	11-The Eyrie	5-Belgique	29-REX
